"DOWNTIME_ID","START_TIME","END_TIME","MACHINE_NO","REASON","NOTES"
"2700","05-MAY-21 02.12.41.000000 PM UTC","05-MAY-21 02.13.43.000000 PM UTC","3","Productivity loss",""
"2702","05-MAY-21 02.15.50.000000 PM UTC","05-MAY-21 02.16.40.000000 PM UTC","3","Productivity loss",""
"2703","05-MAY-21 01.46.04.000000 PM UTC","05-MAY-21 02.21.31.000000 PM UTC","6","",""
"2704","05-MAY-21 02.31.12.000000 PM UTC","05-MAY-21 02.31.55.000000 PM UTC","6","Productivity loss",""
"2705","05-MAY-21 02.17.06.000000 PM UTC","05-MAY-21 02.45.03.000000 PM UTC","3","",""
"2710","05-MAY-21 09.51.14.000000 AM UTC","05-MAY-21 05.14.16.000000 PM UTC","7","",""
"2711","05-MAY-21 09.51.14.000000 AM UTC","05-MAY-21 05.14.16.000000 PM UTC","4","",""
"2713","05-MAY-21 11.42.04.000000 AM UTC","05-MAY-21 05.14.35.000000 PM UTC","10","",""
"2720","05-MAY-21 05.56.12.000000 PM UTC","06-MAY-21 06.28.53.000000 AM UTC","4","",""
"2723","05-MAY-21 05.56.12.000000 PM UTC","06-MAY-21 06.28.55.000000 AM UTC","9","",""
"2725","06-MAY-21 06.29.41.000000 AM UTC","06-MAY-21 06.30.29.000000 AM UTC","5","Productivity loss",""
"2726","05-MAY-21 05.56.12.000000 PM UTC","06-MAY-21 06.30.37.000000 AM UTC","6","",""
"2727","06-MAY-21 06.28.55.000000 AM UTC","06-MAY-21 06.31.01.000000 AM UTC","9","Productivity loss",""
"2728","05-MAY-21 05.56.12.000000 PM UTC","06-MAY-21 06.31.09.000000 AM UTC","10","",""
"2729","06-MAY-21 06.30.29.000000 AM UTC","06-MAY-21 06.44.30.000000 AM UTC","5","",""
"2730","06-MAY-21 06.30.37.000000 AM UTC","06-MAY-21 06.44.35.000000 AM UTC","6","",""
"2731","06-MAY-21 06.31.09.000000 AM UTC","06-MAY-21 06.45.02.000000 AM UTC","10","",""
"2733","06-MAY-21 07.04.44.000000 AM UTC","06-MAY-21 07.05.36.000000 AM UTC","9","Productivity loss",""
"2734","06-MAY-21 06.45.02.000000 AM UTC","06-MAY-21 07.08.05.000000 AM UTC","10","",""
"2738","06-MAY-21 07.14.45.000000 AM UTC","06-MAY-21 07.15.37.000000 AM UTC","9","Productivity loss",""
"2743","06-MAY-21 07.26.56.000000 AM UTC","06-MAY-21 07.28.08.000000 AM UTC","3","Productivity loss",""
"2744","06-MAY-21 07.29.43.000000 AM UTC","06-MAY-21 07.30.24.000000 AM UTC","10","Productivity loss",""
"2745","06-MAY-21 07.31.15.000000 AM UTC","06-MAY-21 07.32.04.000000 AM UTC","10","Productivity loss",""
"2746","06-MAY-21 07.19.00.000000 AM UTC","06-MAY-21 07.33.32.000000 AM UTC","9","",""
"2747","06-MAY-21 07.33.33.000000 AM UTC","06-MAY-21 07.34.17.000000 AM UTC","10","Productivity loss",""
"2748","06-MAY-21 07.35.34.000000 AM UTC","06-MAY-21 07.36.42.000000 AM UTC","3","Productivity loss",""
"2749","06-MAY-21 06.44.35.000000 AM UTC","06-MAY-21 07.37.25.000000 AM UTC","6","",""
"2750","06-MAY-21 07.37.08.000000 AM UTC","06-MAY-21 07.37.54.000000 AM UTC","10","Productivity loss",""
"2751","06-MAY-21 07.37.30.000000 AM UTC","06-MAY-21 07.38.14.000000 AM UTC","9","Productivity loss",""
